nutrient,unit,recommended,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Reference,,,100.00,100.00,100.00,100.0,100.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,100.00,,,,,100.00,100.00,100.00
Water,g,,89.6200,84.0400,94.6100,91.4000,91.4000,92.6600,85.5600,72.3300,74.9100,88.1500,84.2100,90.1500,87.1300,79.1100,80.5400,80.8000,89.8200,83.0700,83.4600,87.5900,86.3400,88.8700,88.8700,83.9600,86.0000,87.2300,85.7500,80.5400,90.9500,91.4500,4.4100,5.2000,4.0700,5.8000,6.9600,,5.2300,4.6900,4.7300,,,,,96.7300,78.6500,95.6300
Energy,kcal,2000,32.0000,49.0000,17.0000,23.0000,23.0000,19.0000,52.0000,167.0000,89.0000,43.0000,57.0000,34.0000,46.0000,74.0000,69.0000,68.0000,36.0000,61.0000,60.0000,44.0000,49.0000,39.0000,39.0000,57.0000,50.0000,46.0000,52.0000,69.0000,32.0000,30.0000,579.0000,553.0000,654.0000,486.0000,534.0000,,559.0000,573.0000,584.0000,,,,,12.0000,70.0000,13.0000
Protein,g,56.00,3.0200,4.2800,1.2300,2.8600,2.8600,1.8000,0.2600,1.9600,1.0900,1.3900,0.7400,0.8400,0.3900,0.7500,0.7200,2.5500,0.5400,1.1400,0.8200,1.0600,1.0400,0.9100,0.9100,0.3600,0.5400,0.7000,1.2000,0.7200,0.6700,0.6100,21.1500,18.2200,15.2300,16.5400,18.2900,,30.2300,17.7300,20.7800,,,,,0.5900,3.7500,1.3500
Total lipid (fat),g,70.00,0.6100,0.9300,0.3000,0.3900,0.3900,0.2000,0.1700,15.4100,0.3300,0.4900,0.3300,0.1900,0.1300,0.3000,0.1600,0.9500,0.1400,0.5200,0.3800,0.3200,0.3000,0.2500,0.2500,0.1400,0.1200,0.2800,0.6500,0.1600,0.3000,0.1500,49.9300,43.8500,65.2100,30.7400,42.1600,,49.0500,49.6700,51.4600,,,,,0.1600,0.9400,0.2200
"Carbohydrate, by difference",g,130.00,5.4200,8.7500,3.2900,3.6300,3.6300,3.7400,13.8100,8.6400,22.8400,9.6100,14.4900,8.1600,12.2000,19.1800,18.1000,14.3200,9.0900,14.6600,14.9800,10.5500,11.8900,9.5400,9.5400,15.2300,13.1200,11.4200,11.9400,18.1000,7.6800,7.5500,21.5500,30.1900,13.7100,42.1200,28.8800,,10.7100,23.4500,20.0000,,,,,2.1600,14.8900,2.2300
"Fiber, total dietary",g,38.00,4.0000,3.6000,2.1000,2.2000,2.2000,1.6000,2.4000,6.8000,2.6000,5.3000,2.4000,0.9000,4.6000,2.9000,0.9000,5.4000,0.8000,3.0000,1.6000,1.7000,2.5000,1.5000,1.5000,3.1000,1.4000,1.4000,6.5000,0.9000,2.0000,0.4000,12.5000,3.3000,6.7000,34.4000,27.3000,,6.0000,11.8000,8.6000,,,,,0.7000,8.0000,1.1000
"Sugars, total",g,90.00,0.4600,2.2600,1.1900,0.4200,0.4200,1.1000,10.3900,0.3000,12.2300,4.8800,9.9600,7.8600,4.0400,16.2600,15.4800,8.9200,8.1200,8.9900,13.6600,7.8900,,8.3900,8.3900,9.7500,9.8500,9.9200,4.4200,15.4800,4.8900,6.2000,4.3500,5.9100,2.6100,,1.5500,,1.4000,0.3000,2.6200,,,,,1.3800,,0.9400
Minerals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calcium, Ca",mg,,232.0000,150.0000,33.0000,99.0000,99.0000,51.0000,6.0000,13.0000,5.0000,29.0000,6.0000,9.0000,8.0000,35.0000,10.0000,18.0000,6.0000,34.0000,11.0000,6.0000,40.0000,6.0000,6.0000,9.0000,13.0000,6.0000,25.0000,10.0000,16.0000,7.0000,269.0000,37.0000,98.0000,631.0000,255.0000,,46.0000,975.0000,78.0000,,,,,14.0000,243.0000,35.0000
"Iron, Fe",mg,,0.4700,1.4700,0.9700,2.7100,2.7100,1.8000,0.1200,0.6100,0.2600,0.6200,0.2800,0.2100,0.2500,0.3700,0.3600,0.2600,0.1700,0.3100,0.1600,0.2800,0.0900,0.2500,0.2500,0.1800,0.2900,0.1700,0.6900,0.3600,0.4100,0.2400,3.7100,6.6800,2.9100,7.7200,5.7300,,8.8200,14.5500,5.2500,,,,,0.2200,5.0800,1.2400
"Magnesium, Mg",mg,,27.0000,47.0000,14.0000,79.0000,79.0000,81.0000,5.0000,29.0000,27.0000,20.0000,6.0000,12.0000,6.0000,17.0000,7.0000,22.0000,10.0000,17.0000,10.0000,9.0000,10.0000,9.0000,9.0000,7.0000,12.0000,7.0000,22.0000,7.0000,13.0000,10.0000,270.0000,292.0000,158.0000,335.0000,392.0000,,592.0000,351.0000,325.0000,,,,,12.0000,80.0000,13.0000
"Phosphorus, P",mg,,25.0000,92.0000,30.0000,49.0000,49.0000,46.0000,11.0000,54.0000,22.0000,22.0000,12.0000,15.0000,13.0000,14.0000,20.0000,40.0000,11.0000,34.0000,14.0000,26.0000,17.0000,20.0000,20.0000,12.0000,8.0000,16.0000,29.0000,20.0000,24.0000,11.0000,481.0000,593.0000,346.0000,860.0000,642.0000,,1233.0000,629.0000,660.0000,,,,,21.0000,73.0000,33.0000
"Potassium, K",mg,,213.0000,491.0000,247.0000,558.0000,558.0000,379.0000,107.0000,507.0000,358.0000,162.0000,77.0000,267.0000,85.0000,232.0000,191.0000,417.0000,228.0000,312.0000,168.0000,201.0000,179.0000,190.0000,190.0000,116.0000,109.0000,157.0000,151.0000,191.0000,153.0000,112.0000,733.0000,660.0000,441.0000,407.0000,813.0000,,809.0000,468.0000,645.0000,,,,,136.0000,569.0000,238.0000
"Sodium, Na",mg,,17.0000,38.0000,8.0000,79.0000,79.0000,213.0000,1.0000,8.0000,1.0000,1.0000,1.0000,16.0000,2.0000,1.0000,2.0000,2.0000,18.0000,3.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,2.0000,1.0000,1.0000,1.0000,12.0000,2.0000,16.0000,30.0000,,7.0000,11.0000,9.0000,,,,,2.0000,31.0000,5.0000
"Zinc, Zn",mg,,0.2100,0.5600,0.2300,0.5300,0.5300,0.3600,0.0400,0.6800,0.1500,0.5300,0.1600,0.1800,0.1000,0.1500,0.0700,0.2300,0.0900,0.1400,0.0900,0.1700,0.0600,0.1700,0.1700,0.1000,0.1200,0.1000,0.4200,0.0700,0.1400,0.1000,3.1200,5.7800,3.0900,4.5800,4.3400,,7.8100,7.7500,5.0000,,,,,0.1700,1.1100,0.2000
Vitamins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vitamin C, total ascorbic acid",mg,,35.3000,120.0000,4.0000,28.1000,28.1000,30.0000,4.6000,8.8000,8.7000,21.0000,9.7000,36.7000,13.3000,2.0000,3.2000,228.3000,18.0000,92.7000,36.4000,5.4000,48.5000,6.6000,6.6000,4.3000,47.8000,9.5000,26.2000,3.2000,58.8000,8.1000,0.0000,0.5000,1.3000,1.6000,0.6000,,1.9000,0.0000,1.4000,,,,,3.2000,31.8000,3.7000
Thiamin,mg,,0.0540,0.1100,0.0720,0.0780,0.0780,0.0400,0.0170,0.0750,0.0310,0.0200,0.0370,0.0410,0.0120,0.0600,0.0690,0.0670,0.0380,0.0270,0.0280,0.0340,0.0870,0.0240,0.0240,0.0120,0.0790,0.0280,0.0320,0.0690,0.0240,0.0330,0.2050,0.4230,0.3410,0.6200,1.6440,,0.2730,0.7910,1.4800,,,,,0.0310,0.0820,0.0570
Riboflavin,mg,,0.1300,0.1300,0.0670,0.1890,0.1890,0.0900,0.0260,0.1430,0.0730,0.0260,0.0410,0.0190,0.0200,0.0500,0.0700,0.0400,0.0120,0.0250,0.0380,0.0270,0.0400,0.0310,0.0310,0.0260,0.0320,0.0260,0.0380,0.0700,0.0220,0.0210,1.1380,0.0580,0.1500,0.1700,0.1610,,0.1530,0.2470,0.3550,,,,,0.0250,0.2660,0.0620
Niacin,mg,,0.7420,1.0000,0.3130,0.7240,0.7240,0.4000,0.0910,1.9120,0.6650,0.6460,0.4180,0.7340,0.1010,0.4000,0.1880,1.0840,0.4180,0.3410,0.6690,1.1250,0.2740,0.8060,0.8060,0.1610,0.5000,0.4170,0.5980,0.1880,0.3860,0.1780,3.6180,1.0620,1.1250,8.8300,3.0800,,4.9870,4.5150,8.3350,,,,,0.0370,1.7060,0.3570
Vitamin B-6,mg,,0.1650,0.2710,0.0740,0.1950,0.1950,0.0990,0.0410,0.2870,0.3670,0.0300,0.0520,0.0720,0.0570,0.1130,0.0860,0.1100,0.0880,0.0630,0.1190,0.0250,0.0630,0.0250,0.0250,0.0290,0.1120,0.0290,0.0550,0.0860,0.0470,0.0450,0.1370,0.4170,0.5370,,0.4730,,0.1430,0.7900,1.3450,,,,,0.0510,0.1290,0.0820
"Folate, DFE",µg,,129.0000,141.0000,136.0000,194.0000,194.0000,14.0000,3.0000,89.0000,20.0000,25.0000,6.0000,21.0000,1.0000,6.0000,2.0000,49.0000,19.0000,25.0000,43.0000,5.0000,39.0000,4.0000,4.0000,7.0000,18.0000,5.0000,21.0000,2.0000,24.0000,3.0000,44.0000,25.0000,98.0000,,87.0000,,58.0000,97.0000,227.0000,,,,,14.0000,114.0000,73.0000
Vitamin B-12,µg,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0000
"Vitamin A, RAE",µg,,251.0000,500.0000,436.0000,469.0000,469.0000,306.0000,3.0000,7.0000,3.0000,11.0000,3.0000,169.0000,3.0000,7.0000,3.0000,31.0000,3.0000,4.0000,54.0000,17.0000,12.0000,16.0000,16.0000,1.0000,3.0000,17.0000,2.0000,3.0000,1.0000,28.0000,0.0000,0.0000,1.0000,,0.0000,,1.0000,0.0000,3.0000,,,,,4.0000,212.0000,166.0000
"Vitamin A, IU",IU,,5019.0000,9990.0000,8710.0000,9377.0000,9377.0000,6116.0000,54.0000,147.0000,64.0000,214.0000,54.0000,3382.0000,60.0000,142.0000,66.0000,624.0000,50.0000,87.0000,1082.0000,332.0000,230.0000,326.0000,326.0000,25.0000,58.0000,345.0000,33.0000,66.0000,12.0000,569.0000,2.0000,0.0000,20.0000,54.0000,0.0000,,16.0000,9.0000,50.0000,,,,,72.0000,4248.0000,3312.0000
Vitamin E (alpha-tocopherol),mg,,2.2600,1.5400,0.1300,2.0300,2.0300,1.8900,0.1800,1.9700,0.1000,1.1700,0.5700,0.0500,1.2000,0.1100,0.1900,0.7300,0.0200,1.4600,0.9000,0.7700,,0.7300,0.7300,0.1200,0.0200,0.2600,0.8700,0.1900,0.2900,0.0500,25.6300,0.9000,0.7000,0.5000,0.3100,,2.1800,0.2500,35.1700,,,,,0.0300,,0.1800
Vitamin D (D2 + D3),µg,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0000
Vitamin D,IU,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0000
Vitamin K (phylloquinone),µg,,437.1000,704.8000,102.5000,482.9000,482.9000,830.0000,2.2000,21.0000,0.5000,19.8000,19.3000,2.5000,5.1000,4.7000,14.6000,2.6000,2.9000,40.3000,4.2000,2.2000,,2.6000,2.6000,4.4000,0.7000,6.4000,7.8000,14.6000,2.2000,0.1000,0.0000,34.1000,2.7000,,4.3000,,7.3000,0.0000,0.0000,,,,,7.2000,,102.3000
Lipids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fatty acids, total saturated",g,,0.0550,0.0910,0.0390,0.0630,0.0630,0.0300,0.0280,2.1260,0.1120,0.0140,0.0280,0.0510,0.0110,0.0600,0.0540,0.2720,0.0380,0.0290,0.0920,0.0250,0.0350,0.0190,0.0190,0.0220,0.0090,0.0170,0.0190,0.0540,0.0150,0.0160,3.8020,7.7830,6.1260,3.3300,3.6630,,8.6590,6.9570,4.4550,,,,,0.0130,0.0000,0.0290
"Fatty acids, total monounsaturated",g,,0.0300,0.0520,0.0120,0.0100,0.0100,0.0400,0.0070,9.7990,0.0320,0.0470,0.0470,0.0030,0.0180,0.0660,0.0070,0.0870,0.0030,0.0470,0.1400,0.0880,0.0550,0.0670,0.0670,0.0840,0.0130,0.1340,0.0640,0.0070,0.0430,0.0370,31.5510,23.7970,8.9330,2.3090,7.5270,,16.2420,18.7590,18.5280,,,,,0.0020,0.0000,0.0080
"Fatty acids, total polyunsaturated",g,,0.2010,0.3380,0.1600,0.1650,0.1650,0.0700,0.0510,1.8160,0.0730,0.2800,0.1460,0.0810,0.0550,0.1440,0.0480,0.4010,0.0590,0.2870,0.0710,0.1130,0.0600,0.0860,0.0860,0.0940,0.0400,0.0440,0.3750,0.0480,0.1550,0.0500,12.3290,7.8450,47.1740,23.6650,28.7300,,20.9760,21.7730,23.1370,,,,,0.0030,0.0010,0.1170
"Fatty acids, total trans",g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0150,,,0.1400,,,0.0640,,,,,,,,,
Cholesterol,mg,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,,0.0000,,0.0000,,,,,0.0000,0.0000,0.0000
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caffeine,mg,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,,,0.0000,,0.0000,,,,,0.0000,,0.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,